code,local_name,ward name
E01031005,"New Arley East, Hill Top & Ansley",Arley and Whitacre
E01031006,New Arley West & Old Arley,Arley and Whitacre
E01031007,New Arley South & Over Whitacre,Arley and Whitacre
E01031008,Ansley Common & Birchley Heath,Arley and Whitacre
E01031009,Atherstone - Canal & Outwoods,Atherstone Central
E01031010,Atherstone Town Centre,Atherstone Central
E01031011,Atherstone North - Town Centre North & Alder Mill,Atherstone North
E01031012,Atherstone North - St. Georges & Carlyon,Atherstone North
E01031013,Atherstone South,Atherstone South and Mancetter
E01031014,Mancetter North,Atherstone South and Mancetter
E01031015,Mancetter South & Ridge Lane,Atherstone South and Mancetter
E01031016,Baddesley Ensor West,Baddesley and Grendon
E01031017,"Grendon, Bradley Green & Whittington",Baddesley and Grendon
E01031018,"Baddesley Common, Baxterley & Merevale",Baddesley and Grendon
E01031019,Coleshill North - Grimstock Hill,Coleshill North
E01031020,Coleshill North - Cole End,Coleshill North
E01031021,Coleshill South - Centre,Coleshill South
E01031022,Coleshill South - Hospital & Southfields,Coleshill South
E01031023,Curdworth & Wishaw,Curdworth
E01031024,Marston & Water Park,Curdworth
E01031025,Dordon Rural,Dordon
E01031026,Dordon Village,Dordon
E01031027,Corley,Fillongley
E01031028,Fillongley & The Packingtons,Fillongley
E01031029,Hartshill South,Hartshill
E01031030,Hartshill North & Caldecote,Hartshill
E01031031,Piccadilly & Wood End,Hurley and Wood End
E01031032,Hurley,Hurley and Wood End
E01031033,Kingsbury South,Kingsbury
E01031034,Kingsbury North,Kingsbury
E01031035,Warton & Shuttington,Newton Regis and Warton
E01031036,"Newton Regis, Austrey & Seckington",Newton Regis and Warton
E01031037,Polesworth East - St. Helena,Polesworth East
E01031038,Polesworth East - Station,Polesworth East
E01031039,Polesworth West - School,Polesworth West
E01031040,Polesworth West - Birchmoor & Pooley Fields,Polesworth West
E01031041,Water Orton West,Water Orton
E01031042,Water Orton East,Water Orton
E01031043,Nuneaton - Abbey & Town Centre,Abbey
E01031044,Nuneaton - Abbey North,Abbey
E01031045,Nuneaton - Abbey West,Abbey
E01031046,Nuneaton - Abbey Priory,Abbey
E01031047,Nuneaton - Abbey South,Abbey
E01031048,Arbury - Heath End,Arbury
E01031049,Arbury - George Elliott,Arbury
E01031050,Arbury - Rural,Arbury
E01031051,Arbury North,Arbury
E01031052,Attleborough North East,Attleborough
E01031053,Attleborough North West,Attleborough
E01031054,Attleborough Central,Attleborough
E01031055,Attleborough South West,Attleborough
E01031056,Attleborough South East,Attleborough
E01031057,Bar Pool North & Crescents,Bar Pool
E01031058,Bar Pool West & Recreation Ground,Bar Pool
E01031059,Bar Pool East & Greenmoor,Bar Pool
E01031060,Bar Pool - Central,Bar Pool
E01031061,Bar Pool South,Bar Pool
E01031062,Bede South West,Bede
E01031063,Bede Cannons,Bede
E01031064,Bede - Bedworth Town Centre,Bede
E01031065,Bede North,Bede
E01031066,Bede East,Bede
E01031067,Bulkington Village,Bulkington
E01031068,Bulkington South East,Bulkington
E01031069,Bulkington North,Bulkington
E01031070,Bulkington - Arden,Bulkington
E01031073,Camp Hill North & Pools,Camp Hill
E01031074,Camp Hill North West & Allotments,Camp Hill
E01031075,Camp Hill East & Quarry,Camp Hill
E01031077,Keresley North & Newlands,Exhall
E01031078,Keresley South & Ash Green,Exhall
E01031079,Exhall West,Exhall
E01031080,Exhall East,Exhall
E01031081,Galley Common South East,Galley Common
E01031082,Galley Common South,Galley Common
E01031083,Galley Common West & Rural,Galley Common
E01031084,Chapel End,Galley Common
E01031085,Galley Common East,Galley Common
E01031086,Goodyers End,Heath
E01031087,Heath Sports,Heath
E01031088,Market End & Newdigate,Heath
E01031089,Little Heath,Heath
E01031090,Kingswood Grove Farm & Rural,Kingswood
E01031091,Kingswood - St Pauls,Kingswood
E01031092,Kingswood - Stockingford Schools,Kingswood
E01031093,Kingswood - Hills,Kingswood
E01031094,Kingswood North East,Kingswood
E01031095,Poplar - Nicholas Chamberlain,Poplar
E01031096,Poplar North West,Poplar
E01031097,Poplar - Coalpit Field,Poplar
E01031098,Poplar - Bayton Road,Poplar
E01031099,Poplar South,Poplar
E01031100,St. Nicholas Horeston Grange West,St. Nicolas
E01031101,St. Nicholas Horeston Grange East,St. Nicolas
E01031102,St. Nicholas South West,St. Nicolas
E01031103,St. Nicholas East & The Long Shoot,St. Nicolas
E01031104,St. Nicholas North & College,St. Nicolas
E01031105,Slough - Mt. Pleasant,Slough
E01031106,Slough South & Heath,Slough
E01031107,Slough - Collycroft North,Slough
E01031108,Slough West & Rural,Slough
E01031109,Slough - Collycroft South,Slough
E01031110,Weddington - St. Nicholas West,Weddington
E01031111,Weddington - St. Nicholas East,Weddington
E01031112,Weddington - South & Schools,Weddington
E01031113,Weddington North,Weddington
E01031114,Wedding South West & River,Weddington
E01031115,Wem Brook - Bridges,Wem Brook
E01031116,Middlemarch & Swimming Pool,Wem Brook
E01031117,Wem Brook East,Wem Brook
E01031118,Hill Top,Wem Brook
E01031119,Riversley,Wem Brook
E01031120,Whitestone North West & Attleborough Fields,Whitestone
